,power.jaap_rodenburg_2.prod.obs.kw.geco.h
2024-01-05 12:00:00+00:00,0.000493421052631579
2024-01-05 13:00:00+00:00,0.03223684210526316
2024-01-05 14:00:00+00:00,0.10016447368421053
2024-01-05 15:00:00+00:00,0.1118421052631579
2024-01-05 16:00:00+00:00,0.08009868421052632
2024-01-05 17:00:00+00:00,0.045394736842105265
2024-01-05 18:00:00+00:00,0.056578947368421055
2024-01-05 19:00:00+00:00,0.06973684210526315
2024-01-05 20:00:00+00:00,0.10657894736842105
2024-01-05 21:00:00+00:00,0.2889802631578947
2024-01-05 22:00:00+00:00,0.22861842105263158
2024-01-05 23:00:00+00:00,0.3023026315789474
2024-01-06 00:00:00+00:00,0.4830592105263158
2024-01-06 01:00:00+00:00,0.5748355263157895
2024-01-06 02:00:00+00:00,0.634046052631579
2024-01-06 03:00:00+00:00,0.47582236842105263
2024-01-06 04:00:00+00:00,0.43125
2024-01-06 05:00:00+00:00,0.5476973684210527
2024-01-06 06:00:00+00:00,0.5631578947368421
2024-01-06 07:00:00+00:00,0.6702302631578947
2024-01-06 08:00:00+00:00,0.7870065789473685
2024-01-06 09:00:00+00:00,0.7996710526315789
2024-01-06 10:00:00+00:00,0.6899671052631579
2024-01-06 11:00:00+00:00,0.5373355263157895
2024-01-06 12:00:00+00:00,0.5050986842105263
2024-01-06 13:00:00+00:00,0.5291118421052632
2024-01-06 14:00:00+00:00,0.6582236842105263
2024-01-06 15:00:00+00:00,0.6111842105263158
2024-01-06 16:00:00+00:00,0.5791118421052631
2024-01-06 17:00:00+00:00,0.6355263157894737
2024-01-06 18:00:00+00:00,0.5300986842105263
2024-01-06 19:00:00+00:00,0.5830592105263158
2024-01-06 20:00:00+00:00,0.31167763157894735
2024-01-06 21:00:00+00:00,0.23421052631578948
2024-01-06 22:00:00+00:00,0.19786184210526317
2024-01-06 23:00:00+00:00,0.2488486842105263
2024-01-07 00:00:00+00:00,0.24029605263157894
2024-01-07 01:00:00+00:00,0.3225328947368421
2024-01-07 02:00:00+00:00,0.3881578947368421
2024-01-07 03:00:00+00:00,0.45049342105263157
2024-01-07 04:00:00+00:00,0.4338815789473684
2024-01-07 05:00:00+00:00,0.41118421052631576
2024-01-07 06:00:00+00:00,0.5832236842105263
2024-01-07 07:00:00+00:00,0.4375
2024-01-07 08:00:00+00:00,0.5115131578947368
2024-01-07 09:00:00+00:00,0.4629934210526316
2024-01-07 10:00:00+00:00,0.618421052631579
2024-01-07 11:00:00+00:00,0.6065789473684211
2024-01-07 12:00:00+00:00,0.6111842105263158
2024-01-07 13:00:00+00:00,0.5365131578947369
2024-01-07 14:00:00+00:00,0.4613486842105263
2024-01-07 15:00:00+00:00,0.21875
2024-01-07 16:00:00+00:00,0.4845394736842105
2024-01-07 17:00:00+00:00,0.5
2024-01-07 18:00:00+00:00,0.3840460526315789
2024-01-07 19:00:00+00:00,0.40361842105263157
2024-01-07 20:00:00+00:00,0.43799342105263156
2024-01-07 21:00:00+00:00,0.4753289473684211
2024-01-07 22:00:00+00:00,0.3707236842105263
2024-01-07 23:00:00+00:00,0.38453947368421054
2024-01-08 00:00:00+00:00,0.38355263157894737
2024-01-08 01:00:00+00:00,0.25707236842105263
2024-01-08 02:00:00+00:00,0.2758223684210526
2024-01-08 03:00:00+00:00,0.2523026315789474
2024-01-08 04:00:00+00:00,0.3659539473684211
2024-01-08 05:00:00+00:00,0.29473684210526313
2024-01-08 06:00:00+00:00,0.42220394736842104
2024-01-08 07:00:00+00:00,0.5399671052631579
